SampleID	Genotype	Time of treatment	Temperature at harvesting	Days after sowing	Biological Replicate
SN01	Col-0	0h	23	9	1
SN02	Col-0	0h	23	9	2
SN03	Col-0	0h	23	9	3
SN04	Col-0	3h	23	9	1
SN05	Col-0	3h	23	9	2
SN06	Col-0	3h	23	9	3
SN07	Col-0	3h	16	9	1
SN08	Col-0	3h	16	9	2
SN09	Col-0	3h	16	9	3
SN10	lsm7-2	0h	23	9	1
SN11	lsm7-2	0h	23	9	2
SN12	lsm7-2	0h	23	9	3
SN13	lsm7-2	3h	23	9	1
SN14	lsm7-2	3h	23	9	2
SN15	lsm7-2	3h	23	9	3
SN16	lsm7-2	3h	16	9	1
SN17	lsm7-2	3h	16	9	2
SN18	lsm7-2	3h	16	9	3
SN19	Col-0	24h	23	10	1
SN20	Col-0	24h	23	10	2
SN21	Col-0	24h	23	10	3
SN22	Col-0	24h	16	10	1
SN23	Col-0	24h	16	10	2
SN24	Col-0	24h	16	10	3
SN25	lsm7-2	24h	23	10	1
SN26	lsm7-2	24h	23	10	2
SN27	lsm7-2	24h	23	10	3
SN28	lsm7-2	24h	16	10	1
SN29	lsm7-2	24h	16	10	2
SN30	lsm7-2	24h	16	10	3
R291	lsm7-2	3h	27	9	1
R292	lsm7-2	3h	27	9	2
R293	lsm7-2	3h	27	9	3
R31	Col-0	3h	27	9	1
R32	Col-0	3h	27	9	2
R33	Col-0	3h	27	9	3
R297	lsm7-2	24h	27	10	1
R298	lsm7-2	24h	27	10	2
R299	lsm7-2	24h	27	10	3
R37	Col-0	24h	27	10	1
R38	Col-0	24h	27	10	2
R39	Col-0	24h	27	10	3
